ID;Categoria;Domanda;Risposta Corretta;R1;R2;R3
1;Art & Literature;Which Shakespearean Character Has The Most Lines;Hamlet;Lord Of The Flies;Mark Twain;The Shining
2;Art & Literature;Who killed Macbeth?;Macduff;Adolf hitler;The lucky country;Romeo and Juliet
3;Art & Literature;What Was The Name Of Charles Dickens Last Novel Unfinished At His Death ;The Mystery Of Edwin Drood ;Paris;The diary of a young girl;15th Century 
4;Art & Literature;Who is associated with the address 221B Baker Street, London ?;Sherlock Holmes;Better homes and gardens;Albert Camus ;Nabis
5;Art & Literature;What is the fourth book in the Harry Potter series ;The Goblet Of Fire ;Tennessee Williams;A. A. Milne;Romeo and juliet
6;Art & Literature;For What Is Dame Margott Fonteyn Famous ;Ballet Dancing;Suprematism;The Shining ;A Piroutte 
7;Art & Literature;A realistic style of painting in which everyday life forms the subject matter, as distinguished from religious or historical painting.;Genre painting;Genre painting;Dystopia;Gouache
8;Art & Literature;On what book was 'Three Days Of The Condor' based?;Six Days Of The Condor;Bridget Jones;Mark Twain ;Values
9;Art & Literature;From the Hebrew word for 'prophet'. A group of French painters active in the 1890s who worked in a subjective, sometimes mystical style, stressing flat areas of color and pattern.;Nabis;Chicago ;Macbeth;Iliad
10;Art & Literature;Who wrote Great Expectations?;Charles Dickens;The Kirov Ballet ;Frankenstein ;Antonio 
11;Art & Literature;A termed coined by British art critic Roger Fry to refer to a group of nine-teenth century painters, who were dissatisfied with the limitations of impressionism. It has since been used to refer to various reactions against impressionism, such as fauvism and expressionism.;Postimpressionism;Alex Ferguson ;Andy Warhol ;Aquatint
12;Art & Literature;Who Co-Wrote (Yeoman Of The Guard), (Lolanthe And The Mikado) ;Gilbert & Sullivan ;William Faulkner ;Edgar Wallace;Tennessee Williams
13;Art & Literature;From which Shakespeare play is this line taken: Goodnight, goodnight! parting is such sweet sorrow, That I should say goodnight till it be morrow.;Romeo and juliet;2001, A Space Odyssey ;Conceptual art;J.D. Salinger
14;Art & Literature;Which Author Wrote The Sound & The Fury, The Wild Palms, And As I Lay Dying ;William Faulkner ;Impressionism;Cruella De Vil ;Suffolk 
15;Art & Literature;What was H.G Wells' first novel?;The Time Machine;Macbeth;Tennessee Williams;Acrylic
16;Art & Literature;This statue was found on the Greek island of Melos in 1820.;Venus de milo;The Tempest ;Rembrandt;William Faulkner 
17;Art & Literature;What shakespearean play refers to the date of epiphany?;Twelfth Night;H.G. Wells;Gilbert & Sullivan ;Mark Twain
18;Art & Literature;French impressionist Claude _____;Monet;Salvador Dali ;2001, A Space Odyssey ;Genre painting
19;Art & Literature;In Which Story Does The Schoolboy (Piggy) Star ;Lord Of The Flies ;Ballet Dancing ;Stephen Hawking ;Charles Dickens
20;Art & Literature;A band of painted or sculpted decoration, often at the top of a wall.;Frieze;Albert Camus ;Leonardo da vinci;Alex Ferguson 
21;Art & Literature;Who Wrote The Famous Book 'A Brief History Of Time'' In 1988? ;Stephen Hawking ;The Goblet Of Fire ;Thornton Wilder;The diary of a young girl
22;Art & Literature;In one of Donald Horne's novels, as what was Australia dubbed?;The lucky country;Frank McCourt ;23 ;Twelfth Night
23;Art & Literature;Three main types of Greek columns are Doric, Ionic, and __________.;Corinthian;John Grisham ;Frank McCourt ;Macbeth
24;Art & Literature;What Are The March Sisters Names In Louisa M Alcotts (Little Woman) ;Jo, Meg Beth & Amy ;The diary of a young girl;Sherlock Holmes;Monet
25;Art & Literature;In which book did four ghosts visit Scrooge?;A Christmas Carol;Spain;A Christmas Carol;George Orwell
26;Art & Literature;What Is The Name Of The Russian National Ballet ;The Kirov Ballet ;Gouache;John Steinbeck;The Mystery Of Edwin Drood 
27;Art & Literature;In 'Romeo and Juliet', about what was Mercutio's long monologue?;Queen Mab;Charles Dickens;Harper Lee;H.G. Wells
28;Art & Literature;Who Wrote The Books (The Firm) And (The Pelican Brief) Both Of Which Were Made Into Films? ;John Grisham ;Monet;Odysseus;Adolf hitler
29;Art & Literature;"Which US author penned the novels ""Of Mice and Men"" and ""East Of Eden""?";John Steinbeck;The Time Machine;Photorealism;Thomas Hardy 
30;Art & Literature;Who wrote the shortest ever letter ?;Victor Hugo;Frieze;John Grisham ;August Rodin 
31;Art & Literature;His many Romantic odes include 'Ode to Melancholy' and 'Ode to a Graecian Urn';John Keats;Hat;A Piroutte ;Postimpressionism
32;Art & Literature;Who Created Lord Peter Wimsey ;Dorothy L Sayers ;A Christmas Carol;The Mystery Of Edwin Drood ;Better homes and gardens
33;Art & Literature;Under What Pen Name Did Hector Hugh Munro Write ;Saki ;Saki ;Monet;Romeo and juliet
34;Art & Literature;Water-soluble paint made from pigments and a plastic binder…?;Acrylic;The Picture of Dorian Gray;Jo, Meg Beth & Amy ;Queen Mab
35;Art & Literature;In Swifts Gullivers Travels What Is Gullivers Profession ;Surgeon ;15th Century ;Romeo and juliet;The Tempest 
